UTF8 // codepage

Фантастика | SF, Fantasy
sf_history Альтернативная история | Alternative history
sf_action Боевая фантастика | Action SF
sf_epic Эпическая фантастика | Epic SF
sf_heroic Героическая фантастика | Heroic SF
sf_detective Детективная фантастика | Detective SF
sf_cyberpunk Киберпанк | Cyberpunk
sf_litrpg ЛитPПГ	   � Litrpg
sf_space Космическая фантастика | Space SF
sf_social Социальная фантастика | Social SF
sf_horror Ужасы | Horror
sf_humor Юмористическая фантастика | Humor SF
sf_fantasy Фэнтези | Fantasy
fantasy_fight Боевое фэнтези | Fantasy fight
dragon_fantasy Фэнтези про драконов | Dragon fantasy
sf Научная фантастика | Science Fiction
child_sf Детская фантастика | Science Fiction for Kids
sf_fantasy_city Городское фэнтези | Fantasy city
sf_postapocalyptic Постапокалипсис | Postapocalyptic
love_sf Любовная фантастика | Love SF
gothic_novel Готический роман | Gothic novel
nsf Ненаучная фантастика | Non Science Fiction
fairy_fantasy Сказочная фантастика | Fairy SF
sf_etc Фантастика: прочее | Other SF
sf_irony Ироническая фантастика | Ironical SF
sf_fantasy_irony Ироническое фэнтези | Ironyc female fantasy
sf_mystic Мистика | Mystic
sf_space_opera Космоопера | Space Opera
sf_stimpank Стимпанк | Stimpank
sf_technofantasy Технофэнтези | Technofantasy
popadanec Попаданцы | popadanec 
historical_fantasy Историческое фэнтези | Historical fantasy
humor_fantasy Юмористическое фэнтези | humor_fantasy

Детективы и Триллеры | Detectives, Thrillers
sf_detective Детективная фантастика | Detective SF
det_classic Классический детектив | Classical Detective
det_police Полицейский детектив | Police Stories
det_action Боевик | Action
det_irony Иронический детектив | Ironical Detective
det_history Исторический детектив | Historical Detective
det_espionage Шпионский детектив | Espionage Detective
det_crime Криминальный детектив | Crime Detective
det_political Политический детектив | Political Detective
det_maniac Маньяки | Maniacs
det_hard Крутой детектив | Hard-boiled Detective
thriller Триллер | Thrillers
detective Детективы: прочее | Detective
love_detective Любовные детективы | Detective Romance
child_det Детские остросюжетные | Detective for Kids
thriller_legal Юридический триллер | Legal thriller
thriller_medical Медицинский триллер | Medical thriller
thriller_techno Техно триллер | Techno Thriller
det_cozy Дамский детективный роман | Cozy Mysteries

Проза | Prose
prose Проза | Prose
prose_classic Классическая проза | Classical Prose
prose_history Историческая проза | Historical Prose
prose_contemporary Современная проза | Contemporary Prose
prose_counter Контркультура | Counterculture
prose_rus_classic Русская классическая проза | Russian Classics
prose_su_classics Советская классическая проза | Soviet Classics
prose_military О войне | Military
aphorisms Афоризмы | Aphorisms
essay Эссе, очерк, этюд, набросок | Essay
story Новелла | Story
great_story Повесть | Great story
short_story Рассказ | Short story
roman Роман | Roman
extravaganza Феерия | Extravaganza
epistolary_fiction Эпистолярная проза | Epistolary
prose_epic Эпопея | Epic
